OTU	Size	Taxonomy
Otu0079	109	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;uncultured_bacterium;uncultured_bacterium_unclassified;
Otu0080	108	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwelliaceae_unclassified;Colwelliaceae_unclassified;
Otu0081	106	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Thalassomonas;Thalassomonas_loyana;
Otu0082	106	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;Erythrobacter_unclassified;
Otu0083	105	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Kordia;Kordia_unclassified;
Otu0084	104	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0085	103	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0086	103	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0087	102	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0088	102	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu0089	102	Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae;Kordiimonas;Kordiimonas_unclassified;
Otu0090	102	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0091	101	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0092	101	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0093	101	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium_unclassified;
Otu0094	101	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Aquimarina;Aquimarina_unclassified;
Otu0095	98	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacteriaceae_unclassified;Flavobacteriaceae_unclassified;
Otu0096	97	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechococcus;Synechococcus_unclassified;
Otu0097	97	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Aestuariibacter;Aestuariibacter_aggregatus;
Otu0098	97	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Litoricolaceae;Litoricola;uncultured_gamma_proteobacterium_CHAB-III-7;
Otu0099	96	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_unclassified;
Otu0100	94	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0101	91	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium;gamma_proteobacterium_KTSW-6;
Otu0102	91	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter;Fabibacter_halotolerans;
Otu0103	89	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0104	87	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0105	87	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0106	86	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
